state,date,year,male_births,female_births
Johor,2013-01-01,2013,29672,27730
Johor,2014-01-01,2014,31420,29023
Johor,2015-01-01,2015,31307,29236
Johor,2016-01-01,2016,30754,28807
Johor,2017-01-01,2017,31648,29437
Johor,2018-01-01,2018,31656,29428
Johor,2019-01-01,2019,31073,29188
Johor,2020-01-01,2020,29379,27529
Johor,2021-01-01,2021,25708,24282
Johor,2022-01-01,2022,24765,23489
Johor,2023-01-01,2023,29075,27081
Kedah,2013-01-01,2013,18049,16983
Kedah,2014-01-01,2014,18936,17569
Kedah,2015-01-01,2015,18832,17952
Kedah,2016-01-01,2016,18457,17510
Kedah,2017-01-01,2017,18991,17702
Kedah,2018-01-01,2018,18462,17181
Kedah,2019-01-01,2019,17828,16683
Kedah,2020-01-01,2020,17516,16312
Kedah,2021-01-01,2021,17032,16008
Kedah,2022-01-01,2022,15784,15012
Kedah,2023-01-01,2023,17574,16237
Kelantan,2013-01-01,2013,18853,17560
Kelantan,2014-01-01,2014,20227,19052
Kelantan,2015-01-01,2015,19984,19124
Kelantan,2016-01-01,2016,19821,18634
Kelantan,2017-01-01,2017,20084,19038
Kelantan,2018-01-01,2018,19984,18376
Kelantan,2019-01-01,2019,19124,17734
Kelantan,2020-01-01,2020,18739,17536
Kelantan,2021-01-01,2021,17868,16896
Kelantan,2022-01-01,2022,17464,16344
Kelantan,2023-01-01,2023,18482,17223
Melaka,2013-01-01,2013,7102,6590
Melaka,2014-01-01,2014,7592,6976
Melaka,2015-01-01,2015,7460,7094
Melaka,2016-01-01,2016,7511,6891
Melaka,2017-01-01,2017,7454,6935
Melaka,2018-01-01,2018,7379,7009
Melaka,2019-01-01,2019,7408,6728
Melaka,2020-01-01,2020,7139,6716
Melaka,2021-01-01,2021,6812,6380
Melaka,2022-01-01,2022,6745,6360
Melaka,2023-01-01,2023,6971,6612
Negeri Sembilan,2013-01-01,2013,9126,8383
Negeri Sembilan,2014-01-01,2014,9665,9011
Negeri Sembilan,2015-01-01,2015,9605,8818
Negeri Sembilan,2016-01-01,2016,9345,8691
Negeri Sembilan,2017-01-01,2017,9390,8688
Negeri Sembilan,2018-01-01,2018,9328,8849
Negeri Sembilan,2019-01-01,2019,9061,8403
Negeri Sembilan,2020-01-01,2020,8880,8240
Negeri Sembilan,2021-01-01,2021,8723,8054
Negeri Sembilan,2022-01-01,2022,8406,7585
Negeri Sembilan,2023-01-01,2023,8564,8006
Pahang,2013-01-01,2013,13996,12972
Pahang,2014-01-01,2014,14887,13856
Pahang,2015-01-01,2015,14370,13689
Pahang,2016-01-01,2016,14379,13247
Pahang,2017-01-01,2017,14111,13444
Pahang,2018-01-01,2018,13930,13076
Pahang,2019-01-01,2019,13254,12633
Pahang,2020-01-01,2020,13032,12312
Pahang,2021-01-01,2021,12624,11883
Pahang,2022-01-01,2022,12209,11359
Pahang,2023-01-01,2023,12482,11680
Perak,2013-01-01,2013,18294,17133
Perak,2014-01-01,2014,18833,17753
Perak,2015-01-01,2015,18855,17429
Perak,2016-01-01,2016,18559,17126
Perak,2017-01-01,2017,17953,16885
Perak,2018-01-01,2018,17455,16414
Perak,2019-01-01,2019,17069,15936
Perak,2020-01-01,2020,16472,15110
Perak,2021-01-01,2021,15758,15058
Perak,2022-01-01,2022,15202,14341
Perak,2023-01-01,2023,15851,14908
Perlis,2013-01-01,2013,2108,1942
Perlis,2014-01-01,2014,2318,2191
Perlis,2015-01-01,2015,2239,2076
Perlis,2016-01-01,2016,2297,2095
Perlis,2017-01-01,2017,2347,2100
Perlis,2018-01-01,2018,2249,2122
Perlis,2019-01-01,2019,2155,1905
Perlis,2020-01-01,2020,2104,1997
Perlis,2021-01-01,2021,2148,1928
Perlis,2022-01-01,2022,1967,1779
Perlis,2023-01-01,2023,2032,1846
Pulau Pinang,2013-01-01,2013,11020,10479
Pulau Pinang,2014-01-01,2014,11799,11078
Pulau Pinang,2015-01-01,2015,11529,10713
Pulau Pinang,2016-01-01,2016,11176,10605
Pulau Pinang,2017-01-01,2017,11048,10416
Pulau Pinang,2018-01-01,2018,10661,10044
Pulau Pinang,2019-01-01,2019,10471,9729
Pulau Pinang,2020-01-01,2020,10188,9457
Pulau Pinang,2021-01-01,2021,9510,9061
Pulau Pinang,2022-01-01,2022,9069,8662
Pulau Pinang,2023-01-01,2023,10162,9417
Sabah,2013-01-01,2013,29664,27159
Sabah,2014-01-01,2014,29720,27677
Sabah,2015-01-01,2015,28451,26248
Sabah,2016-01-01,2016,27067,25004
Sabah,2017-01-01,2017,27120,25408
Sabah,2018-01-01,2018,27601,25424
Sabah,2019-01-01,2019,27554,25419
Sabah,2020-01-01,2020,25952,23635
Sabah,2021-01-01,2021,21544,20064
Sabah,2022-01-01,2022,22471,21146
Sabah,2023-01-01,2023,24206,22206
Sarawak,2013-01-01,2013,21027,19386
Sarawak,2014-01-01,2014,21243,19806
Sarawak,2015-01-01,2015,20551,19203
Sarawak,2016-01-01,2016,19652,18333
Sarawak,2017-01-01,2017,19543,18111
Sarawak,2018-01-01,2018,18876,17748
Sarawak,2019-01-01,2019,19037,17635
Sarawak,2020-01-01,2020,18440,17009
Sarawak,2021-01-01,2021,16062,15212
Sarawak,2022-01-01,2022,15949,14988
Sarawak,2023-01-01,2023,17797,16123
Selangor,2013-01-01,2013,53282,49891
Selangor,2014-01-01,2014,56023,52909
Selangor,2015-01-01,2015,55720,52411
Selangor,2016-01-01,2016,54027,50634
Selangor,2017-01-01,2017,53823,50164
Selangor,2018-01-01,2018,52784,49341
Selangor,2019-01-01,2019,50760,48076
Selangor,2020-01-01,2020,48318,45259
Selangor,2021-01-01,2021,46638,43480
Selangor,2022-01-01,2022,43346,40312
Selangor,2023-01-01,2023,46799,43736
Terengganu,2013-01-01,2013,13026,12439
Terengganu,2014-01-01,2014,14056,12957
Terengganu,2015-01-01,2015,14403,13226
Terengganu,2016-01-01,2016,14211,13310
Terengganu,2017-01-01,2017,14177,13734
Terengganu,2018-01-01,2018,14578,13664
Terengganu,2019-01-01,2019,14088,12997
Terengganu,2020-01-01,2020,14118,13059
Terengganu,2021-01-01,2021,13632,12705
Terengganu,2022-01-01,2022,13077,12227
Terengganu,2023-01-01,2023,13447,12680
W.P. Kuala Lumpur,2013-01-01,2013,13044,12289
W.P. Kuala Lumpur,2014-01-01,2014,13887,13213
W.P. Kuala Lumpur,2015-01-01,2015,13411,12378
W.P. Kuala Lumpur,2016-01-01,2016,13276,12463
W.P. Kuala Lumpur,2017-01-01,2017,12722,12010
W.P. Kuala Lumpur,2018-01-01,2018,12475,11760
W.P. Kuala Lumpur,2019-01-01,2019,12473,11448
W.P. Kuala Lumpur,2020-01-01,2020,12113,11086
W.P. Kuala Lumpur,2021-01-01,2021,10992,10054
W.P. Kuala Lumpur,2022-01-01,2022,10234,9619
W.P. Kuala Lumpur,2023-01-01,2023,10935,10507
W.P. Labuan,2013-01-01,2013,944,799
W.P. Labuan,2014-01-01,2014,959,912
W.P. Labuan,2015-01-01,2015,1023,930
W.P. Labuan,2016-01-01,2016,881,871
W.P. Labuan,2017-01-01,2017,866,819
W.P. Labuan,2018-01-01,2018,913,778
W.P. Labuan,2019-01-01,2019,872,806
W.P. Labuan,2020-01-01,2020,851,863
W.P. Labuan,2021-01-01,2021,755,767
W.P. Labuan,2022-01-01,2022,704,670
W.P. Labuan,2023-01-01,2023,710,699
W.P. Putrajaya,2013-01-01,2013,1518,1454
W.P. Putrajaya,2014-01-01,2014,1574,1490
W.P. Putrajaya,2015-01-01,2015,1515,1354
W.P. Putrajaya,2016-01-01,2016,1342,1227
W.P. Putrajaya,2017-01-01,2017,1298,1219
W.P. Putrajaya,2018-01-01,2018,1251,1149
W.P. Putrajaya,2019-01-01,2019,1211,1105
W.P. Putrajaya,2020-01-01,2020,1073,1070
W.P. Putrajaya,2021-01-01,2021,1090,1016
W.P. Putrajaya,2022-01-01,2022,953,886
W.P. Putrajaya,2023-01-01,2023,894,819
